rab,E
0.700000,-2.593472188576
0.800000,-2.745386637668
0.900000,-2.840169211407
1.000000,-2.899103142055
1.200000,-2.955900835370
1.300000,-2.966937183175
1.400000,-2.971508207403
1.500000,-2.971879295618
1.600000,-2.969581024324
1.700000,-2.965654649187
1.800000,-2.960810224968
1.900000,-2.955530692503
2.000000,-2.950141725152
2.100000,-2.944859232036
2.200000,-2.939821971288
2.300000,-2.935114214542
2.400000,-2.930781722171
2.500000,-2.926843209629
2.600000,-2.923298663071
2.700000,-2.920135408485
2.800000,-2.917332536669
2.900000,-2.914864117849
3.000000,-2.912701537229
3.100000,-2.910815200673
3.200000,-2.909175780019
3.300000,-2.907755101488
3.400000,-2.906526743536
3.500000,-2.905466397598
3.600000,-2.904552042536
3.700000,-2.903763980278
3.800000,-2.903084774131
3.900000,-2.902499122533
4.000000,-2.901993695915
4.100000,-2.901556952625
4.200000,-2.901178950022
4.300000,-2.900851158883
4.400000,-2.900566287506
4.500000,-2.900318119146
4.600000,-2.900101364681
4.700000,-2.899911531576
4.800000,-2.899744805911
4.900000,-2.899597953817
5.100000,-2.899353310392
5.200000,-2.899251211027
5.300000,-2.899160248712
5.400000,-2.899078986027
5.500000,-2.899006193449
5.600000,-2.898940816323
5.700000,-2.898881947431
5.800000,-2.898828804283
5.900000,-2.898780710333
6.000000,-2.898737079425
6.200000,-2.898661238353
6.300000,-2.898628200488
6.400000,-2.898597954997
6.500000,-2.898570208419
6.600000,-2.898544704639
6.700000,-2.898521219182
6.800000,-2.898499554806
6.900000,-2.898479537700
7.000000,-2.898461014213
7.100000,-2.898443848073
7.200000,-2.898427918007
7.300000,-2.898413115736
7.400000,-2.898399344278
7.500000,-2.898386516523
7.600000,-2.898374554023
7.700000,-2.898363385974
7.800000,-2.898352948348
7.900000,-2.898343183155
8.000000,-2.898334037794
8.100000,-2.898325464501
8.200000,-2.898317419855
8.300000,-2.898309864342
8.400000,-2.898302761963
8.500000,-2.898296079892
8.600000,-2.898289788156
8.700000,-2.898283859354
8.800000,-2.898278268401
8.900000,-2.898272992301
9.000000,-2.898268009935
9.100000,-2.898263301883
9.200000,-2.898258850256
9.300000,-2.898254638544
9.400000,-2.898250651493
9.500000,-2.898246874981
9.600000,-2.898243295920
9.700000,-2.898239902160
9.900000,-2.898233626159
10.462376,-2.898219054931
10.950495,-2.898209285816
11.438614,-2.898201504097
11.926733,-2.898195240131
12.414851,-2.898190149486
12.902970,-2.898185976432
13.391089,-2.898182528728
13.879208,-2.898179659948
14.367327,-2.898177257198
14.855446,-2.898175232497
15.343564,-2.898173516641
15.831683,-2.898172054747
16.319802,-2.898170802975
16.807921,-2.898169726061
17.296040,-2.898168795458
17.784158,-2.898167987918
18.272277,-2.898167284392
18.760396,-2.898166669192
19.248515,-2.898166129323
19.736634,-2.898165653972
20.224752,-2.898165234094
20.712871,-2.898164862095
21.200990,-2.898164531563
21.689109,-2.898164237072
22.177228,-2.898163974002
22.665347,-2.898163738415
23.153465,-2.898163526933
23.641584,-2.898163336656
24.129703,-2.898163165081
24.617822,-2.898163010045
25.105941,-2.898162869670
25.594059,-2.898162742323
26.082178,-2.898162626580
26.570297,-2.898162521193
27.058416,-2.898162425070
27.546535,-2.898162336537
28.034653,-2.898162256193
28.522772,-2.898162182557
29.010891,-2.898162114969
29.499010,-2.898162052842
29.987129,-2.898161995654
30.475248,-2.898161942943
30.963366,-2.898161894293
31.451485,-2.898161849335
31.939604,-2.898161807737
32.427723,-2.898161769204
32.915842,-2.898161733467
33.403960,-2.898161700287
33.892079,-2.898161669447
34.380198,-2.898161640752
34.868317,-2.898161614025
35.356436,-2.898161589107
35.844554,-2.898161565852
36.332673,-2.898161544130
36.820792,-2.898161523820
37.308911,-2.898161504813
37.797030,-2.898161487012
38.285149,-2.898161470324
38.773267,-2.898161454668
39.261386,-2.898161439968
39.749505,-2.898161426154
40.237624,-2.898161413164
40.725743,-2.898161400939
41.213861,-2.898161389426
41.701980,-2.898161378575
42.190099,-2.898161368342
42.678218,-2.898161358684
43.166337,-2.898161349563
43.654455,-2.898161340944
44.142574,-2.898161332795
44.630693,-2.898161325083
45.118812,-2.898161317783
45.606931,-2.898161310868
46.095050,-2.898161304313
46.583168,-2.898161298096
47.071287,-2.898161292197
47.559406,-2.898161286596
48.047525,-2.898161281276
48.535644,-2.898161276220
49.023762,-2.898161271411
49.511881,-2.898161266837
50.000000,-2.898161262483
